userId,bookId,reading_date
0,634407.Knots_and_Crosses,2023-04-11
0,702573.Claiming_the_Highlander,2018-04-09
0,1537534.Unbelievable,2016-04-13
0,8514027-mission-unstoppable,2023-12-16
0,47990.Jingo,2023-09-17
0,74998.The_Magic_Faraway_Tree,2017-02-05
0,9292965-blood-destiny,2022-06-23
0,6295267-tegami-bachi,2024-07-02
0,34521.Only_You_Can_Save_Mankind,2021-12-10
0,766319.Born_Confused,2015-12-14
0,8396337-blackveil,2017-07-03
0,1937397.A_Shadow_on_the_Glass,2018-01-23
0,9666870-the-demon-s-surrender,2016-11-18
0,505352.Ravenheart,2021-05-12
0,7770715-by-midnight,2024-07-16
0,2247142.The_Talented_Mr_Ripley,2024-03-08
0,3004101-heart-of-gold,2024-06-11
0,6871031-son-of-perdition,2020-09-28
0,17281362-where-silence-gathers,2022-12-05
0,21719.Kisscut,2021-01-13
0,10092824-the-silver-brumby,2020-04-22
0,13143.Pop_Goes_the_Weasel,2015-11-25
0,45101.The_Mad_Ship,2018-01-07
0,949709.There_Was_an_Old_Lady_Who_Swallowed_a_Fly,2016-12-02
0,710603.Holiday_Horse,2022-08-05
0,530425.The_Pleasantries_of_the_Incredible_Mulla_Nasrudin,2016-05-27
0,12926132-palace-of-stone,2022-10-23
0,23807.The_Silence_of_the_Lambs,2020-07-16
0,22895725-dragon-s-bride,2020-08-14
0,2262320.Inherit_the_Witch,2022-10-07
0,61915.Falling_Free,2020-09-04
0,491578.The_White_Giraffe,2015-07-24
0,16062211-the-proposition,2017-08-01
0,615359.Shark_Girl,2020-03-15
0,7826101-the-healer-s-apprentice,2022-03-01
0,238355.Angel,2017-11-29
0,23433222-shades-of-doon,2023-05-19
0,20814993-half-lost,2017-10-12
0,187812.Avalon_High,2020-10-16
0,6671719-when-the-dust-settles---a-true-hollywood-story,2020-12-03
0,28866.Dark_Prince,2023-04-13
0,129216.Simple_Justice,2024-09-14
0,11426.Family,2017-08-17
0,379139.Badger_s_Moon,2022-02-05
0,836607.Fruits_Basket_Vol_3,2016-09-04
0,7492939-amethyst-destiny,2016-11-04
0,6976104-the-shapeshifters,2019-08-21
0,52251.Claudius_the_God_and_His_Wife_Messalina,2018-01-27
0,2192092.The_Last_Watch,2022-06-02
0,1087196.Kamichama_Karin_Vol_01,2016-04-10
0,20980959-blue-labyrinth,2017-02-07
0,1225261.No_Time_for_Goodbye,2023-06-18
0,128881.The_Guide_to_the_Territories_of_Halla,2024-10-15
0,5957313-graveminder,2023-09-18
0,73385.A_Knight_in_Shining_Armor,2016-03-04
0,7778981-halo,2021-01-06
0,47916.Obernewtyn,2019-03-13
0,186669.Brilliance_of_the_Moon,2017-04-20
0,33113864-metro-2035,2015-01-14
0,25933.The_Black_Sheep,2018-08-13
0,103159.The_Forsyte_Saga,2016-11-11
0,3401640-kill-for-me,2024-03-30
0,571942.Dixie_City_Jam,2019-11-11
0,13836.Wild_Magic,2021-02-14
0,7741065-the-sister-wife,2020-11-14
0,29363501-fantastic-beasts-and-where-to-find-them,2016-04-20
0,1901277.Hell_Night,2016-04-09
0,226709.Petals_on_the_Wind,2021-06-29
0,99714.The_Floating_Island,2022-05-08
0,10990.Lord_John_and_the_Private_Matter,2018-04-17
0,530965.The_Day_of_the_Triffids,2023-03-16
0,3577266-wings-of-wrath,2023-04-01
0,3437316-the-january-dancer,2017-10-11
0,272607.Fade_Away,2021-09-22
0,17345314-cracked,2022-06-27
0,1198715.Case_Closed_Vol_6,2015-06-22
0,50140.Big_Sur,2020-06-30
0,9277335-shimmer,2017-03-13
0,8125720-hearts-aglow,2017-11-22
0,7384801-taken-by-midnight,2023-07-06
0,8811139-light,2015-12-08
0,259836.Dragons_of_Autumn_Twilight,2022-07-23
0,6148028-catching-fire,2020-12-10
0,9277335-shimmer,2018-10-02
0,28448287-replica,2015-01-12
0,17195831-villains-rising,2015-12-27
0,100924.Perelandra,2022-06-24
0,28449231-unblemished,2015-09-01
0,1981112.King_of_the_Khyber_Rifles,2021-09-05
0,17316770-invaded,2018-12-02
0,8492319-lover-unleashed,2018-11-01
0,17874546-falling,2024-08-10
0,12988478-the-care-and-feeding-of-stray-vampires,2019-12-04
0,7904453-the-broken-kingdoms,2023-01-30
0,34517.Reaper_Man,2018-06-27
0,509858.Ayesha,2016-12-17
0,7304203-shadowfever,2022-08-30
0,18528454-a-beautiful-wedding,2024-02-06
0,17671956-the-sandman-omnibus-vol-2,2018-07-26
0,2194051.Warrior_s_Return,2018-09-05
0,40144224-where-dreams-descend,2018-07-11
0,125542.Stay_Out_of_the_Basement,2018-01-07
0,21888732-the-dead,2020-09-27
0,420297.Curious_George,2017-04-19
0,8739430-restless-soul,2023-06-03
0,17022.My_Ishmael,2015-09-09
0,13416236-whispers-at-moonrise,2020-08-18
0,17461.Misty_of_Chincoteague,2015-12-13
0,59952.3,2020-09-22
0,5341067-sir-bentley-and-holbrook-court,2021-08-14
0,12954620-falling-kingdoms,2017-05-12
0,6351910-dynasty-of-evil,2021-08-25
0,101887.Earthclan,2024-07-14
0,18006496-queen-of-shadows,2019-05-29
0,496040.True_Blue,2021-11-04
0,18467815-wolf,2021-02-09
0,6485421-the-mortal-instruments-boxed-set,2022-11-22
0,2440645.Into_The_Shadow,2023-09-10
0,28588345-the-midnight-star,2015-11-10
0,28588345-the-midnight-star,2021-01-08
0,18553.The_Cay,2021-06-16
0,24094.Wolf_Speaker,2018-12-18
0,228296.Rosemary_s_Baby,2019-08-02
0,17233800-crash-into-you,2022-09-12
0,153224.Children_of_the_Blood,2020-10-04
0,10321640-mist,2020-09-09
0,999733.Sloop_of_War,2016-12-15
0,532856.Lara_and_the_Gray_Mare,2019-07-11
0,156443.Carl_Barks_Greatest_Ducktales_Stories_Volume_1,2016-06-10
0,130837.Diving_In,2016-01-06
0,873414.Imadoki_,2018-04-29
0,6178065-tenth-grade-bleeds,2021-02-13
0,11715276-born-wicked,2019-06-12
0,17607716-ruins,2017-05-04
0,104097.Sailing_to_Sarantium,2021-06-09
0,474211.Bedknob_and_Broomstick,2024-08-11
0,420416.Sword_Play,2024-03-29
0,676679.Divine_By_Blood,2024-01-23
0,1590979.Curse_of_the_Spellmans,2021-06-09
0,45250.A_Quantum_Murder,2021-08-11
0,2288045.The_Convenient_Groom,2023-06-06
0,13542868-the-farm,2018-08-12
0,9758788-torn,2016-06-24
0,303948.A_Time_for_Dancing,2016-09-16
0,244478.A_Whisper_of_Danger,2019-04-20
0,19000898-the-dinosaur-lords,2021-11-24
0,31180248-leah-on-the-offbeat,2019-08-07
0,169872.The_Mislaid_Magician_or_Ten_Years_After,2022-01-28
0,10576365-the-darkest-minds,2021-05-28
0,11175319-artemis-the-loyal,2018-11-30
0,6080337-the-year-of-the-flood,2021-07-01
0,824762.Reborn_Vol_03,2017-01-03
0,17929785-satellite,2021-08-31
0,262545.The_Whistling_Season,2024-07-05
0,110395.To_Catch_an_Heiress,2024-07-18
0,28204534-paper-girls-vol-1,2023-08-12
0,6288940-what-a-dragon-should-know,2024-05-22
0,640029.Nobody_s_Princess,2021-09-08
0,258872.Morningstar,2017-08-26
0,12901365-the-deepest-cut,2023-03-08
0,127335.Tonight_on_the_Titanic,2018-03-03
0,112872.A_Light_in_the_Window,2022-09-20
0,110388.On_the_Way_to_the_Wedding,2016-04-10
0,31507.Love_s_Enduring_Promise,2019-01-29
0,5296227-dragoncharm,2016-06-26
0,357486.Voices_from_Chernobyl,2015-09-15
0,6393047-the-viper-s-nest,2018-02-01
0,39338454-the-bride-test,2015-10-28
0,169879.Calling_on_Dragons,2024-04-15
0,109785.Sierra_Jensen_Collection_Vol_1,2019-10-29
0,1902241.The_Adoration_of_Jenna_Fox,2024-05-14
0,1194366.The_True_Meaning_of_Smekday,2019-08-18
0,280125.The_Orc_King,2021-08-02
0,16074568-the-vanishing-tribe,2015-12-22
0,3133562-there-are-cats-in-this-book,2019-07-12
0,6938348-shift,2020-12-08
0,12467867-more-than-4-admirers-reloaded,2019-06-29
0,15559.Morgawr,2024-08-23
0,272773.The_Rest_of_the_Robots,2018-03-19
0,47241.Tinker,2023-11-03
0,37526.Henry_V,2022-04-21
0,17724774-shadow-of-the-queen,2018-03-06
0,1301153.Princess_Mia,2020-05-24
0,22062213-etched-in-bone,2015-08-08
0,356321.The_Story_of_Babar,2018-02-08
0,26544446-smoked,2020-07-04
0,23549.The_Journal_of_Scott_Pendleton_Collins,2022-10-18
0,15791085-the-falconer,2022-12-02
0,18249280-mirror-sight,2019-02-21
0,11861062-starters,2021-03-21
0,1462251.A_Roller_Coaster_for_the_Twins_,2015-10-28
